epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,43.3289,1.78646,1.61925,1.6286,0,0,0,0,nan,nan,nan,0.0519252,0.00492521,0.00492521
7,49.3891,1.74133,1.5841,1.59956,0,0,0,0,nan,nan,nan,0.0436739,0.00567389,0.00567389
8,55.8413,1.69766,1.55819,1.53235,0,0,0,0,nan,nan,nan,0.0353971,0.0063971,0.0063971
9,62.5637,1.6744,1.41704,1.52796,0,0,0,0,nan,nan,nan,0.0270949,0.00709486,0.00709486
10,68.3877,1.67826,1.33135,1.47077,0,0,0,0,nan,nan,nan,0.0187672,0.00776716,0.00776716
11,74.3612,1.61824,1.23996,1.4707,0,0,0,0,nan,nan,nan,0.010414,0.008414,0.008414
12,80.2239,1.56889,1.21994,1.43547,0,0,0,0,nan,nan,nan,0.00844429,0.00844429,0.00844429
13,86.4951,1.62077,1.14982,1.41855,0,0,0,0,nan,nan,nan,0.00830286,0.00830286,0.00830286
14,92.2966,1.61894,1.15642,1.46894,0,0,0,0,nan,nan,nan,0.00816143,0.00816143,0.00816143
15,98.6134,1.5411,1.165,1.39084,0,0,0,0,nan,nan,nan,0.00802,0.00802,0.00802
